Paragraph_Num,Section,Section_Name,Header,Sub_Header,Sub_sub_head,Paragraph,Summary_Sentence,Tags
11,II,BACKGROUND,,,,"Today’s Notice rests upon over a decade of consistent action by the Commission to 
protect and promote the Internet as an open platform for innovation, competition, economic growth, and
free expression. At the core of all of these Commission efforts has been a view endorsed by four 
Chairmen and a majority of the Commission’s members in office during that time: That FCC oversight is 
essential to protect the openness that is critical to the Internet’s success. In recognition of this, the 
Commission has demonstrated a steadfast commitment to safeguarding that openness. ","The FCC's view has been consistent for more than a decade, and FCC oversight is essential to protect openness","FCC, commission, internet, open, platform, economic, oversight, openness"
12,II,BACKGROUND,,,,"In 2004, former Chairman Michael Powell first articulated basic guiding principles for 
preserving Internet freedom in an address at Silicon Flatirons. Chairman Powell recognized that 
“consumers’ hunger for an ever-expanding array of high-value content, applications, and devices”12
fueled investment in broadband networks as the “impressive generators of economic growth, innovation, 
and empowerment.” He explained that “ensuring that consumers can obtain and use the content, 
applications and devices they want . . . is critical to unlocking the vast potential of the broadband 
Internet.”","Chairman Powell, in 2004, said consumer hunger for content and apps had fueled investment in broadband networks and they needed to be able to use the content they wanted","chairman, powell, broadband, content, applications, devices, economic, innovation, devices, internet"
13,II,BACKGROUND,,,,"A year later, reinforcing Chairman Powell’s guidance, the Commission unanimously 
approved the Internet Policy Statement setting forth four general Internet policy principles intended “[t]o 
encourage broadband deployment and preserve and promote the open and interconnected nature of the 
Internet.”14 Specifically, subject to “reasonable network management,”15 the principles entitle consumers 
to (1) “access the lawful Internet content of their choice;” (2) “run applications and use services of their 
choice, subject to the needs of law enforcement;” (3) “connect their choice of legal devices that do not harm the network;” and (4) enjoy “competition among network providers, application and service providers, and content providers.”
",The FCC in 2005 named four Internet policy principles: consumers are entitled to: access Internet content; run applications; connect devices; enjoy cometition between providers.,"fcc, powell, commission, internet policy statement, broadband, deployment, applications, devices, law enforcement, open, internet, policy"
14,II,BACKGROUND,,,,"The Commission incorporated these open Internet principles in a series of merger 
proceedings. In 2005, the Commission conditioned approval of the SBC/AT&T and Verizon/MCI 
mergers on the merged entities’ compliance with the Internet Policy Statement.17 Although the 
Commission did not adopt any formal open Internet conditions on the Adelphia/Time Warner/Comcast
transactions, the Commission made clear that its Internet Policy Statement “contains principles against 
which the conduct of Comcast [and] Time Warner . . . can be measured.”18 So too, in 2006, the 
Commission accepted the AT&T and BellSouth commitment to “maintain a neutral network and neutral 
routing in [the merged entity’s] wireline broadband Internet access service,” as a formal condition of the 
merger.19 Likewise, in the 2011 Comcast-NBCU merger, the Commission adopted the commitments of 
the merged entity to not “prioritize affiliated Internet content over unaffiliated Internet content . . . [or] 
treat affiliated network traffic differently from unaffiliated network traffic” as well as to comply with the 
Commission’s open Internet rules, regardless of the effect of “any judicial challenge” affecting those 
rules.",The FCC adopted the four principles mentioned above in a series of proceedings,"fcc, commission, internet, vericon, mci, sbc, at&t, 2005, comcast, time warner, bellsouth, comcast, nbcu, traffic, internet, network, rules"
15,II,BACKGROUND,,,,"The Commission likewise incorporated openness principles for mobile services, adopting
an open platform requirement for licensees in the Upper 700 MHz C Block in 2007. Specifically, the 
rules require Upper 700 MHz C-Block licensees to allow customers, device manufacturers, third-party 
application developers, and others to use or develop the devices and applications of their choice for Upper 700 MHz C-Block networks, provided those devices and applications meet all applicable regulatory 
requirements and comply with reasonable conditions related to management of the wireless network (i.e., 
do not cause harm to the network). Further, the Commission prohibited Upper 700 MHz C-Block 
licensees from disabling features or functionality in handsets where such action is not related to 
reasonable network management and protection, or compliance with applicable regulatory requirements.
","The FCC adopted openness principles for mobile in 2007, which allowed third-party changes to mobile phones, and blocked companies from disabling many functions in phones",The FCC adopted openness principles for mobile in 2007
16,II,BACKGROUND,,,,"Also in 2007, the Commission unanimously adopted the Broadband Industry Practices 
Notice of Inquiry, explaining that vigilance and a willingness to act were necessary to keep the Internet 
open. The Broadband Industry Practices Notice specifically sought comment on whether the Internet
Policy Statement should be amended or expanded.","In 2007, the FCC adopted the Broadband Industry Practices Notices of Inquiry, saying they were necessary to keep the Internet open","fcc, commission, broadband, broadband industry practices, internet"
17,II,BACKGROUND,,,,"Meanwhile, the Commission applied open Internet principles in the context of particular 
enforcement proceedings. Just before the Commission adopted the Internet Policy Statement, the 
Enforcement Bureau had entered into a consent decree with Madison River Communications, a telephone 
company and provider of digital subscriber line (DSL) service, arising from complaints by Vonage that 
Madison River was blocking ports that were typically used by Vonage customers to make Voice over 
Internet Protocol (VoIP) telephone calls. The consent decree required Madison River to stop blocking 
VoIP ports and refrain from otherwise inhibiting customers from using the VoIP applications of their 
choice.",The FCC in past years has used open Internet principles to stop blocking some business practices ,"commission, enforcement, internet, consent, madison river, dsl, digital, vonage, voip, voice over"
18,II,BACKGROUND,,,,"In 2007, several parties filed complaints with the Commission alleging that Comcast was 
interfering with its customers’ use of peer-to-peer applications in violation of the Internet Policy 
Statement.27 Such applications allow users to share large files directly with one another without going 
through a central server, but also can consume significant amounts of bandwidth. In response, Comcast 
asserted that its conduct was a reasonable network management practice necessary to ease congestion.28 
The Commission disagreed and, in a 2008 Order, concluded that the company’s practice “contravene[d]
. . . federal policy” by “significantly imped[ing] consumers’ ability to access the content and use the 
applications of their choice.”29 As the Commission explained, Comcast’s “practice unduly squelch[ed] the dynamic benefits of an open and accessible Internet,” harm that was further compounded by 
Comcast’s failure to disclose its practice to its customers.30 In the Comcast Order, the Commission 
asserted ancillary jurisdiction under Title I of the Communications Act and concluded that it could 
resolve the dispute through adjudication rather than rulemaking.",The FCC ruled in 2007 that Comcast could not interfere with customers transferring large files between each other,"fcc, commission, 2007, peer, internet, comcast, bandwith, network, complaints, 2008"
19,II,BACKGROUND,,,,"Comcast challenged that decision in the D.C. Circuit, arguing (among other things) that 
the Commission lacked authority to prohibit a broadband Internet service provider from engaging in 
discriminatory practices that violate the four principles the Commission announced in 2005.32 On April 6, 
2010, the D.C. Circuit granted Comcast’s petition for review and vacated the Commission’s enforcement 
decision. As to section 706 of the Telecommunications Act of 1996, the court noted that the agency had 
previously interpreted section 706 as not constituting a grant of authority and held that the Commission 
was bound by that interpretation for purposes of the case.33",The DC Circuit Court overruled the FCC's decision on Comcast in 2010,"dc, circuit court, comcast, commission, broadband, internet, provider, 2010, section 706, telecommunications, 1996, authority"
20,II,BACKGROUND,,,,"While the Comcast case was pending, the Commission issued a Notice of Proposed 
Rulemaking seeking comment on whether the Commission should codify the four principles stated in the 
Internet Policy Statement, plus proposed nondiscrimination and transparency rules, all subject to 
reasonable network management. 34 ","While the Comcast case was pending, the FCC sought comment on codifying the four principles",
21,II,BACKGROUND,,,,"In December 2010, the Commission released the Open Internet Order, adopting three 
basic rules grounded in the Commission’s prior decisions and broadly accepted Internet norms.35 First, 
the Order imposed a transparency rule, requiring both fixed and mobile providers to “publically disclose 
accurate information regarding the network management practices, performance, and commercial terms” 
of their broadband Internet access service.36 The rule specified that such disclosures be “sufficient for 
consumers to make informed choices regarding the use of such services and for content, application, 
service, and device providers to develop, market, and maintain Internet offerings.”37 Second, the Order 
adopted anti-blocking requirements. The rule barred fixed providers from blocking “lawful content, 
applications, services, or non-harmful devices subject to reasonable network management.”38 It 
prohibited mobile providers from blocking “consumers from accessing lawful websites,” as well as 
“applications that compete with the provider’s voice or video telephony services,” subject to “reasonable 
network management.”39 Third, the Order adopted an anti-discrimination rule for fixed providers, barring 
them from “unreasonably discriminat[ing] in transmitting lawful network traffic,” subject to “reasonable 
network management.”40 ","The FCC in 2010 released its Open Internet Order, adopting three rules: Internet providers were required to meet transparency rules about business practices, providers were prohibited from blocking content or consumers from web sites, and providers could not discriminate on network traffic.","commission, open internet order, 2010, internet, transparency, broadband, network, commercial, access, service, content, rule, anti-blocking, network, websites, telephone, video, discrimination, lawful"
22,II,BACKGROUND,,,,"Verizon challenged the Open Internet Order in the D.C. Circuit on several grounds.41 It 
argued that the Commission lacked statutory authority to adopt the rules, that the blocking and non-
discrimination rules violated the Communications Act by imposing common carriage regulation on an 
information service, that the Order was arbitrary and capricious, and that the rules violated the First and 
Fifth Amendments to the U.S. Constitution. ","Verizon challenged the Open Internet Order, arguing, among other things, that the FCC lacked authority. ","verison, commission, communications act, fifth amendment, constitution, carriage, court"
23,II,BACKGROUND,,,,"On January 14, 2014, the D.C. Circuit ruled on Verizon’s challenge to the Open Internet 
Order.42 As discussed further below, the court upheld the Commission’s reading that sections 706(a) and 
(b) of the Telecommunications Act grant the Commission affirmative authority to encourage and 
accelerate the deployment of broadband capability to all Americans through, among other things, 
measures that promote competition in the local telecommunications market or remove barriers to 
infrastructure investment.43 The court further held that the Commission could utilize that section 706 
authority to regulate broadband Internet access service.44 It concluded that the Commission had 
adequately justified the adoption of open Internet rules by finding that such rules would preserve and 
facilitate the “virtuous circle” of innovation, demand for Internet services, and deployment of broadband 
infrastructure and that, absent such rules, broadband providers would have the incentive and ability to 
inhibit that deployment.45 The court therefore rejected Verizon’s challenge to the transparency rule.46 
However, the court struck down the “anti-blocking” and “anti-discrimination” rules, explaining that the
Commission had chosen an impermissible mechanism by which to implement its legitimate goals. 
Specifically, the court held that the Commission had imposed per se common carriage requirements on 
providers of Internet access services.47 Such treatment was impermissible because the Commission had 
classified fixed broadband Internet access service as an information service, not a telecommunications 
service, and had classified mobile broadband Internet access service as a private mobile service rather 
than a commercial mobile service.48 The court remanded the case to the Commission for further 
proceedings consistent with its opinion.","The DC Circuit Court issued a split decision on Verizon vs the FCC in January 2014, saying the FCC could regulate Internet access and use its transparency rule, but struck down the anti-blocking and anti-discrimination rules.","circuit, court, internet, open, verizon, fcc, open internet order, 706, telecommunications act, open, rules, broadband, internet, anti-blocking, antidiscrimination, carriage, access, information, mobile, commercial"
24,II,BACKGROUND,,,,"Today, we respond directly to that remand and propose to adopt enforceable rules of the 
road, consistent with the court’s opinion, to protect and promote the open Internet. As the above history 
demonstrates, our action builds on the foundation begun under Chairman Powell, continued under
Chairmen Martin and Genachowski, and reinforced by a decade of Commission policy. ","The FCC, responding to the court ruling, proposes new rules to promote the open Internet","court, open, internet, powell chairman, martin, genachowski, commission"
25,"III, A, 1",DISCUSSION,The Continuing Need for Open Internet Protections,"An Open Internet Promotes Innovation, Competition, Free Expression, and Infrastructure Deployment",,"In the Open Internet Order, the Commission reiterated the conclusion underlying its prior 
policies—that the Internet’s openness promotes innovation, investment, competition, free expression and 
other national broadband goals.49 The Commission also found that the Internet’s openness is critical to its 
ability to serve as a platform for speech and civic engagement and can help close the digital divide by
facilitating the development of diverse content, applications, and services.50 Further, the Order found that 
the benefits of Internet openness—increased consumer choice, freedom of expression, and innovation—
applied to end users accessing the Internet using mobile services as well as fixed services.51",The FCC stands by its previous conclusion that the Internet's openness promotes innovation and is critical to its ability to serve as platform for civic engagement and free speech.,"commission, fcc, open internet order, content, applications, consumer, freedome of expression, civic engagement, mobile"
26,"III, A, 1",DISCUSSION,The Continuing Need for Open Internet Protections,"An Open Internet Promotes Innovation, Competition, Free Expression, and Infrastructure Deployment",,"In the Open Internet Order, the Commission specifically found that the Internet’s 
openness enabled a “virtuous circle of innovation in which new uses of the network—including new 
content, applications, services, and devices—lead to increased end-user demand for broadband, which 
drives network improvements, which in turn lead to further innovative network uses.”52 For example, the 
Commission explained that innovative streaming video applications and independent sources of video 
content have spurred end-user demand, which, in turn, has led to network investments and increased 
broadband deployment.53 By contrast, the Commission reasoned, “[r]estricting edge providers’ ability to 
reach end users, and limiting end users’ ability to choose which edge providers to patronize, would reduce 
the rate of innovation at the edge and, in turn, the likely rate of improvements to network 
infrastructure.”54 As discussed further below, the Commission found that, despite the advantages of the 
virtuous circle, broadband providers have short-term incentives to limit openness, generating harms to 
edge providers and users, among others.55 Thus, the risk of broadband provider practices that may reward 
them in the short term but over the long run erode Internet openness threatens to slow or even break the 
virtuous circle—chilling entry and innovation by edge providers, impeding competition in many sectors, 
dampening consumer demand, and deterring broadband deployment—in ways that may be irreversible or 
very costly to undo. Also, innovation that does not occur due to lack of Internet openness may be hard to 
detect.","In the Open Internet Order, the FCC notes that Internet opennes creates a ""virtuous circle,"" that spurs innovation and investment, but broadband providers have short-term incentives to limit openness, which may erode Internet openness in the long run.","open internet order, internet, network, virtuous circle, broadband, network, commission, video, innovative, applications, providers, openness, chilling"
27,"III, A, 1",DISCUSSION,The Continuing Need for Open Internet Protections,"An Open Internet Promotes Innovation, Competition, Free Expression, and Infrastructure Deployment",,"The Open Internet Order acknowledged that there were tradeoffs to consider in adopting 
the 2010 rules.56 The Commission concluded, however, that any small costs of imposing the rules were
outweighed by the positive effect on network investment from the preservation of the openness that drives 
the virtuous circle, as well as the increased certainty in continued openness under the rules.57","The Open Internet Order notes tradeoffs in the adoption of the 2010 rules, but said they are outweighed by the positive effect of openness, which creates a virtuous circle.","open internet order, 2010, commission, network, openness, virtuous circle"
28,"III, A, 1",DISCUSSION,The Continuing Need for Open Internet Protections,"An Open Internet Promotes Innovation, Competition, Free Expression, and Infrastructure Deployment",,"The D.C. Circuit held that “the Commission [had] more than adequately supported and 
explained its conclusion that edge provider innovation leads to the expansion and improvement of 
broadband infrastructure.”58 The court also found “reasonable and grounded in substantial evidence” the 
Commission’s finding that Internet openness fosters the edge provider innovation that drives the virtuous 
circle.59 ","The court ruled the FCC had explained well its conclusion that innovation leads to expansion and improvement of infrastructure, and that Internet openness provides innovation that drives the virtuous circle.","court, commission, edge provider, innovation, infrstructyure, internet, openness, virtuous circle"
29,"III, A, 1",DISCUSSION,The Continuing Need for Open Internet Protections,"An Open Internet Promotes Innovation, Competition, Free Expression, and Infrastructure Deployment",,"We believe that these findings, made by the Commission in 2010 and upheld by the 
court, remain valid. If anything, the remarkable increases in investment and innovation seen in recent 
years—while the rules were in place—appear to have borne out much of the Commission’s view.60 Both 
within the network and at its edges, investment and innovation have flourished while the open Internet 
rules were in force. ","The FCC believes its findings made in 2006, and upheld by the court, are still valid.","commission, 2010, innovation, investment, rules, network, innovation, open internet"
30,"III, A, 1",DISCUSSION,The Continuing Need for Open Internet Protections,"An Open Internet Promotes Innovation, Competition, Free Expression, and Infrastructure Deployment",,"According to a June 2013 report by the White House Office of Science and Technology 
Policy, for example, nearly $250 billion in private capital has been invested in U.S. wired and wireless 
broadband networks since 2009.61 USTelecom reports that broadband capital expenditures have risen 
steadily, from $64 billion in 2009 to $68 billion in 2012.62 Wireline providers alone invested $25 billion 
in 2012.63 And venture capital financing of “Internet-specific” businesses has doubled in the past four 
years, from $3.5 billion in 2009 to $7.1 billion in 2013.64 Annual investment in U.S. wireless networks 
grew more than 40 percent between 2009 and 2012, from $21 billion to $30 billion, and exceeds 
investment by the major oil and gas or auto companies.65","Nearly $250b in private capital has been invested in broadband networks since 2009, and investment grew more than 40 percent between 2009-2012.","white house, office of science and technology, wireless, broadband, 2013, 2009, 2012, ustelecom, internet, capital, venture, wireless, networks"
31,"III, A, 1",DISCUSSION,The Continuing Need for Open Internet Protections,"An Open Internet Promotes Innovation, Competition, Free Expression, and Infrastructure Deployment",,"Whole new product markets have blossomed in recent years, and the market for services in the United States. In April 2010, Apple released the first version of the iPad, which launched
the tablet market.66 The number of tablet users in the United States has increased from 9.7 million in 
2010 to almost 70 million by the end of 2012, and is projected to grow to more than 160 million 
(approximately 50 percent of the U.S. population) by 2016.67 In 2013, over $1 billion in venture capital 
funding was invested in mobile media startups,68 and overall app use in 2013 posted 115 percent year-
over-year growth.69 According to CTIA, in 2012 there were more than 20 independent non-carrier mobile 
application stores, offering over 3.5 million apps for 14 different operating systems.70 The Wall Street 
Journal reported in March 2013 that Apple and Google each offered about 700,000 apps, and that 
application sales were approaching $25 billion.71
applications has both diversified and exploded. A total of $8.33 billion has been raised since 2007 on 
mobile media ventures, a majority of the funds ($4.7 billion) to companies that provide software services, 
including mobile Web development, carrier-backend software, app development, and cloud-based ","New market products have blossomed and the market for services has exploded, such as for the iPad, and is expected to continue to grow.","product, marketsm ipad, tablet, venture, capital, mobile, funding, apple, google, 2012, operating systems, wall street journal, web, carrier, billion cloud"
32,"III, A, 1",DISCUSSION,The Continuing Need for Open Internet Protections,"An Open Internet Promotes Innovation, Competition, Free Expression, and Infrastructure Deployment",,"Finally, we have seen tremendous growth in the online voice and video markets. The 
number of hours Americans spend watching video over the Internet has grown 70 percent since June 
2010.72 Between 2010 and 2013, revenues from online video services grew 175 percent, from $1.86 
billion to $5.12 billion.73 Real-time entertainment (that is, programming that is viewed as it is delivered, 
such as video streamed by Netflix and Hulu) grew from 42.7 percent of the downstream fixed access 
traffic at peak time (generally 8:00 p.m. to 10:00 p.m.) in 2010 to 67 percent of the downstream fixed 
access traffic at peak time by September 2013.74 VoIP usage has similarly continued to increase. The 
number of global over-the-top mobile VoIP subscribers increased by 550 percent in 2012.75","Online voice and video markets continue to grow, such as Netflix and Hulu.","voice, video, netflix, hulu, real-time, entertainment, voip, 2012, 2010, "
33,"III, A, 1",DISCUSSION,The Continuing Need for Open Internet Protections,"An Open Internet Promotes Innovation, Competition, Free Expression, and Infrastructure Deployment",,"We have also, however, witnessed a growing digital divide that threatens to undo the 
work of the Commission’s open Internet policies. As certain cities get connected with fiber or other technologies capable of providing broadband speeds of 25 Mbps up to 1 Gigabit, rural America and even 
some parts of urban America are falling farther and farther behind. Recent data suggest that a majority of 
Americans living in urban areas (64 percent) have access to at least 25 Mbps/10 Mbps service, while only 
a substantial minority of Americans residing in rural areas (only 21 percent) have access to that same 25 
Mbps/10 Mbps service.76 We are similarly concerned as to whether advanced networks are being 
deployed to all Americans in urban areas, as the construction of new networks, especially competitive 
networks, is an outcome that must be encouraged.",A growing digital divide threatens to undermine the FCC's open Internet policies.,"digital, divide, commission, open internet, urban, mbps, networks"
34,"III, A, 1",DISCUSSION,The Continuing Need for Open Internet Protections,"An Open Internet Promotes Innovation, Competition, Free Expression, and Infrastructure Deployment",,"In light of developments in the Internet ecosystem since 2010, we wish to refresh the 
record on the importance of protecting and promoting an open Internet. We seek comment on the current 
role of the Internet’s openness in facilitating innovation, economic growth, free expression, civic 
engagement, competition, and broadband investment and deployment. Particularly, we seek comment on 
the role the open Internet rules have had in investment in the broadband marketplace—networks and edge 
providers alike. We are similarly interested in understanding the role that the open Internet may play in 
the promotion of competition or in identifying barriers to infrastructure investment that an open Internet 
may eliminate or lessen. We also seek comment on the role that the open Internet has for public 
institutions, such as public and school libraries, research libraries, and colleges and universities.77 ","The FCC seeks comment on the importance of protecting and promoting the open Internet, and in particular on the role rules have had in the investment in the broadband marketplace, on the promotion of competition, and the role open Internet has for public institutions.","2010, ecosystem, open internet, openness, innovation, economic growth, free expression, civic engagement, competition, broadband, marketplace, public, schools, libraries, research libraries, colleges, universities"
35,"III, A, 1",DISCUSSION,The Continuing Need for Open Internet Protections,"An Open Internet Promotes Innovation, Competition, Free Expression, and Infrastructure Deployment",,"Additionally, we seek comment on the impact of the openness of the Internet on free 
expression and civic engagement. For example, the percentage of Americans who use the Internet 
reached 87 percent in 2014—an increase of 8 percent from 2010, the year in which the Open Internet
Order was adopted—marking “explosive adoption” that has had “wide-ranging impacts on everything 
from: the way people get, share and create news . . . the way they learn; the nature of their political 
activity; their interactions with government; the style and scope of their communications with friends and 
family; and the way they organize in communities.”78 In light of the important role that the Internet now 
plays as a vehicle for communication of all sorts—both for consumers and content providers—how 
should we consider the potential impact on social and personal expression of an Internet whose openness 
was not protected? For example, would there be particular impacts on political speech, on the ability of 
consumers to use the Internet to express themselves, or on the Internet’s role as a “marketplace of ideas” 
that serves the interests of democracy in general, serving even the interests of those Americans who listen 
even if they do not actively speak?79 Are there other ways in which we should understand free-expression 
interests and whether they may be impaired by a lack of openness?80","About 87 percent of Americans use the internet in 2014, which is 8 more than when the Open Internet Order movement started in 2010. The internet has changed: Politics, government interaction, communication, and community orgainzation. The FCC seeks comment on: How does the openness of the Internet have an impact on free expression and civic engagement? Social and perosnal expression? political speech? As a marketplace of ideas? ","free expression, civic engagement, Open Internet Order, political activity, government, communication, communities, consumers, content providers, speech, marketplace of ideas, democracy"
36,"III, A, 1",DISCUSSION,The Continuing Need for Open Internet Protections,"An Open Internet Promotes Innovation, Competition, Free Expression, and Infrastructure Deployment",,"At the same time, we are mindful of the possible tradeoffs the Commission recognized at 
the time it adopted the Open Internet Order.81 When it adopted the rules in 2010, the Commission’s 
primary focus was on the market between broadband providers and their end-user subscribers. The record 
contained no evidence of U.S. broadband providers engaging in pay-for-priority arrangements, in which 
the broadband provider would agree with a third party to directly or indirectly prioritize some traffic over 
other traffic to reach the provider’s subscribers.82 As such, the Commission found that such arrangements 
would be a “significant departure from historical and current practice.”83 ","When the Open Internet Order was adopted in 2010, broadband providers did not make businesses pay for priority traffic. The FCC decided back then that such an arrangement would be too different from what was currently done.","Open Internet Order, subscribers, pay-for-priority, "
